p_c_cgs,rho0_gcm3,r_c_km,n,M_Msun,R_km,C,y_R,k2,Lambda,cs2_max,success,at_boundary
2.8743297195907065e+35,0.0,0.5,0,1.980143368857377,12.666376853959154,0.23084878417923993,1.0184191848219275,0.03881518330785735,39.470481515877005,1.0,True,False
1.8757317588473234e+33,0.0,0.5,1,0.3939239434514983,37.53574350277406,0.015497110049897057,1.8636162301940353,0.015844582669235,11817781.61322866,1.0,True,False
1e+33,0.0,0.5,1,0.3962676124635703,43.608395896706426,0.013418433786218074,1.8538864604836363,0.016575845581028523,25402431.90128952,1.0,True,False
2.5689526380431826e+33,0.0,0.5,1,0.3922390569791508,34.78783537094266,0.016649714502341432,1.8681433300874974,0.01553154543483198,8092625.772591209,1.0,True,False
1.6027952576805255e+33,0.0,0.5,1,0.3946344762999211,38.9684285280804,0.014954279456484254,1.8610389318480727,0.01603716088700764,14295809.950116634,1.0,True,False
4.8186660501522105e+33,0.0,0.5,1,0.39335853748539096,28.99464283696365,0.020033377658075894,1.875510007035505,0.01519881590450743,3140129.83111396,1.0,True,False
1.1702878142787719e+33,0.0,0.5,1,0.3958038747334557,42.000473093500865,0.013915833379099034,1.8561360847711874,0.01640675929576131,20959718.573586497,1.0,True,False
1.369573568249363e+33,0.0,0.5,1,0.3952603077553357,40.42643065999085,0.014437804847027915,1.8579609599080391,0.016283082607041637,17303722.068127602,1.0,True,False
5.639226159571954e+33,0.0,0.5,1,0.40063015291497467,27.14445579870918,0.021794447032228506,1.8725942550516412,0.01566312005593919,2123526.791974865,1.0,True,False
4.1175051054615565e+33,0.0,0.5,1,0.3902351619990297,30.759064125827198,0.0187342642722227,1.8759912331943067,0.01500966917696504,4336073.646405152,1.0,True,False
2.1951460202347108e+33,0.0,0.5,1,0.3931262771064605,36.146973383971414,0.01605992435342709,1.866081731867084,0.015666420860629828,9775996.864817612,1.0,True,False
6.599517656509135e+33,0.0,0.5,1,0.4131736252880107,25.233928033216287,0.024178596720815307,1.863364277993316,0.016768144032154226,1352814.5901285575,1.0,True,False
7.723335093530239e+33,0.0,0.5,1,0.4314544688879133,23.453395361089264,0.027165181307808796,1.848891058556985,0.018383545570793,828466.5479577769,1.0,True,False
9.03852494554989e+33,0.0,0.5,1,0.4554294950728699,21.85943929353254,0.03076560760530328,1.827788433659768,0.020601795956455143,498294.7820646621,1.0,True,False
3.0064139677612413e+33,0.0,0.5,1,0.3912598821941539,33.45200339726004,0.017271360477045267,1.869665429043287,0.01545308675465321,6703339.891201737,1.0,True,False
3.518369631148474e+33,0.0,0.5,1,0.39018637934608885,32.229474972256355,0.017877312637901398,1.8727573596399474,0.015223204164938147,5557809.2491294285,1.0,True,False
1.0577675602831737e+34,0.0,0.5,1,0.4853236429964744,20.466210419826336,0.03501687411855058,1.7982319326806653,0.023541840371717682,298100.2064768355,1.0,True,False
1.6953848293501704e+34,0.0,0.5,1,0.6114690258375983,17.47094564232616,0.051682249830404904,1.6599174262457475,0.03591936074468966,64942.69161194159,1.0,True,False
2.7173547644259605e+34,0.0,0.5,1,0.7873356943053945,15.799975109474659,0.07358459417776908,1.4642532945772742,0.05053099110788778,15614.643100175039,1.0,True,False
1.4486904919154496e+34,0.0,0.5,1,0.5634964206511724,18.343459626985812,0.04536211283488108,1.7178688265253899,0.03096422380286239,107473.79044858344,1.0,True,False
4.355363329857582e+34,0.0,0.5,1,1.007083731988339,14.800662130254954,0.1004772631300115,1.2795017811413694,0.05996084234317217,3903.3498815295015,1.0,True,False
1.9840882063015996e+34,0.0,0.5,1,0.6646603579305277,16.822922381951617,0.058342051583167694,1.6006511529522842,0.04068636692916014,40128.152738705765,1.0,True,False
1.2378924861387846e+34,0.0,0.5,1,0.521667284719971,19.331908433537784,0.03984760587906016,1.7641699734405707,0.02678808617301299,177762.13673595712,1.0,True,False
6.980755690571396e+34,0.0,0.5,1,1.257240361375138,14.084036088431699,0.13181794794686053,1.0866190302827845,0.06478299136905176,1085.168068433039,1.0,True,False
2.3219542502889885e+34,0.0,0.5,1,0.72360110521395,16.24452961487127,0.06577720905439752,1.5356204962809448,0.04555778736452501,24665.74019181209,1.0,True,False
3.721617260914331e+34,0.0,0.5,1,0.9295620018731212,15.045666844823074,0.0912326484601586,1.3170653978788345,0.05917243080359256,6241.324152365511,1.0,True,False
5.097028631688861e+34,0.0,0.5,1,1.0877973303259996,14.551440382874238,0.11038888971912277,1.2093218820351535,0.06262352963867772,2546.9443544232486,1.0,True,False
3.1800871678800645e+34,0.0,0.5,1,0.856318106489783,15.405949063380344,0.08207861706762996,1.396895421061895,0.05465350150222399,9780.849579720378,1.0,True,False
9.560658480212914e+34,0.0,0.5,1,1.4319528945373643,13.804668247900578,0.15317437553579072,1.021677873876567,0.06184678728405965,488.9847254241474,1.0,True,False
1.3094025149558947e+35,0.0,0.5,1,1.6050114092811374,13.45521448004161,0.17614521904231978,0.958723219136153,0.05750187473768595,226.0666221563729,1.0,True,False
8.169493319132765e+34,0.0,0.5,1,1.3444447077362778,13.978910884045241,0.14202113223644516,1.0926159720867032,0.06124262050998672,706.6390817949163,1.0,True,False
5.964990496695477e+34,0.0,0.5,1,1.1714172098696143,14.279479692925939,0.1211386077481772,1.1313415748801559,0.06507127300998453,1662.9728314395452,1.0,True,False
1.1188722115874176e+35,0.0,0.5,1,1.5192196540757061,13.630473329714986,0.16458603915868641,1.0002901820595416,0.059254931213801425,327.0907555374224,1.0,True,False
1.7933230746828344e+35,0.0,0.5,1,1.7688700829942228,13.195390125522536,0.19795070961040925,0.9933570632959318,0.04902230847471945,107.52691470823459,1.0,True,False
2.0987041413662616e+35,0.0,0.5,1,1.8449891234142242,13.022176026449616,0.20921538100072307,0.9759521657307861,0.04628724139926578,76.98426921140732,1.0,True,False
1.5323778072388359e+35,0.0,0.5,1,1.6886359800831285,13.28228724934072,0.18773555519220325,0.9862216200217327,0.05247150039872978,150.00286951550575,1.0,True,False
2.456087882417329e+35,0.0,0.5,1,1.9162318069997177,12.84525896314572,0.22028683411593605,0.9826020990085431,0.04282102951304638,55.032993684663715,1.0,True,False
2.8743297195907065e+35,0.0,0.5,1,1.980143368857377,12.666376853959154,0.23084878417923993,1.0184191848219275,0.03881518330785735,39.470481515877005,1.0,True,False
3.363793045056323e+35,0.0,0.5,1,2.0366379027167714,12.482951237803125,0.24092391336466087,1.0867689673156198,0.03443517961597443,28.282093208835107,1.0,True,False
1.369573568249363e+33,0.0,0.5,2,0.3952603077553357,40.42643065999085,0.014437804847027915,1.8579609599080391,0.016283082607041637,17303722.068127602,1.0,True,False
1.1702878142787719e+33,0.0,0.5,2,0.3958038747334557,42.000473093500865,0.013915833379099034,1.8561360847711874,0.01640675929576131,20959718.573586497,1.0,True,False
1e+33,0.0,0.5,2,0.3962676124635703,43.608395896706426,0.013418433786218074,1.8538864604836363,0.016575845581028523,25402431.90128952,1.0,True,False
1.8757317588473234e+33,0.0,0.5,2,0.3939239434514983,37.53574350277406,0.015497110049897057,1.8636162301940353,0.015844582669235,11817781.61322866,1.0,True,False
3.518369631148474e+33,0.0,0.5,2,0.39018637934608885,32.229474972256355,0.017877312637901398,1.8727573596399474,0.015223204164938147,5557809.2491294285,1.0,True,False
1.6027952576805255e+33,0.0,0.5,2,0.3946344762999211,38.9684285280804,0.014954279456484254,1.8610389318480727,0.01603716088700764,14295809.950116634,1.0,True,False
2.1951460202347108e+33,0.0,0.5,2,0.3931262771064605,36.146973383971414,0.01605992435342709,1.866081731867084,0.015666420860629828,9775996.864817612,1.0,True,False
2.5689526380431826e+33,0.0,0.5,2,0.3922390569791508,34.78783537094266,0.016649714502341432,1.8681433300874974,0.01553154543483198,8092625.772591209,1.0,True,False
3.0064139677612413e+33,0.0,0.5,2,0.3912598821941539,33.45200339726004,0.017271360477045267,1.869665429043287,0.01545308675465321,6703339.891201737,1.0,True,False
5.639226159571954e+33,0.0,0.5,2,0.40063015291497467,27.14445579870918,0.021794447032228506,1.8725942550516412,0.01566312005593919,2123526.791974865,1.0,True,False
7.723335093530239e+33,0.0,0.5,2,0.4314544688879133,23.453395361089264,0.027165181307808796,1.848891058556985,0.018383545570793,828466.5479577769,1.0,True,False
4.1175051054615565e+33,0.0,0.5,2,0.3902351619990297,30.759064125827198,0.0187342642722227,1.8759912331943067,0.01500966917696504,4336073.646405152,1.0,True,False
1.2378924861387846e+34,0.0,0.5,2,0.521667284719971,19.331908433537784,0.03984760587906016,1.7641699734405707,0.02678808617301299,177762.13673595712,1.0,True,False
6.599517656509135e+33,0.0,0.5,2,0.4131736252880107,25.233928033216287,0.024178596720815307,1.863364277993316,0.016768144032154226,1352814.5901285575,1.0,True,False
4.8186660501522105e+33,0.0,0.5,2,0.39335853748539096,28.99464283696365,0.020033377658075894,1.875510007035505,0.01519881590450743,3140129.83111396,1.0,True,False
9.03852494554989e+33,0.0,0.5,2,0.4554294950728699,21.85943929353254,0.03076560760530328,1.827788433659768,0.020601795956455143,498294.7820646621,1.0,True,False
1.0577675602831737e+34,0.0,0.5,2,0.4853236429964744,20.466210419826336,0.03501687411855058,1.7982319326806653,0.023541840371717682,298100.2064768355,1.0,True,False
1.4486904919154496e+34,0.0,0.5,2,0.5634964206511724,18.343459626985812,0.04536211283488108,1.7178688265253899,0.03096422380286239,107473.79044858344,1.0,True,False
1.6953848293501704e+34,0.0,0.5,2,0.6114690258375983,17.47094564232616,0.051682249830404904,1.6599174262457475,0.03591936074468966,64942.69161194159,1.0,True,False
2.3219542502889885e+34,0.0,0.5,2,0.72360110521395,16.24452961487127,0.06577720905439752,1.5356204962809448,0.04555778736452501,24665.74019181209,1.0,True,False
1.9840882063015996e+34,0.0,0.5,2,0.6646603579305277,16.822922381951617,0.058342051583167694,1.6006511529522842,0.04068636692916014,40128.152738705765,1.0,True,False
2.7173547644259605e+34,0.0,0.5,2,0.7873356943053945,15.799975109474659,0.07358459417776908,1.4642532945772742,0.05053099110788778,15614.643100175039,1.0,True,False
3.1800871678800645e+34,0.0,0.5,2,0.856318106489783,15.405949063380344,0.08207861706762996,1.396895421061895,0.05465350150222399,9780.849579720378,1.0,True,False
4.355363329857582e+34,0.0,0.5,2,1.007083731988339,14.800662130254954,0.1004772631300115,1.2795017811413694,0.05996084234317217,3903.3498815295015,1.0,True,False
6.980755690571396e+34,0.0,0.5,2,1.257240361375138,14.084036088431699,0.13181794794686053,1.0866190302827845,0.06478299136905176,1085.168068433039,1.0,True,False
9.560658480212914e+34,0.0,0.5,2,1.4319528945373643,13.804668247900578,0.15317437553579072,1.021677873876567,0.06184678728405965,488.9847254241474,1.0,True,False
3.721617260914331e+34,0.0,0.5,2,0.9295620018731212,15.045666844823074,0.0912326484601586,1.3170653978788345,0.05917243080359256,6241.324152365511,1.0,True,False
8.169493319132765e+34,0.0,0.5,2,1.3444447077362778,13.978910884045241,0.14202113223644516,1.0926159720867032,0.06124262050998672,706.6390817949163,1.0,True,False
5.097028631688861e+34,0.0,0.5,2,1.0877973303259996,14.551440382874238,0.11038888971912277,1.2093218820351535,0.06262352963867772,2546.9443544232486,1.0,True,False
5.964990496695477e+34,0.0,0.5,2,1.1714172098696143,14.279479692925939,0.1211386077481772,1.1313415748801559,0.06507127300998453,1662.9728314395452,1.0,True,False
1.3094025149558947e+35,0.0,0.5,2,1.6050114092811374,13.45521448004161,0.17614521904231978,0.958723219136153,0.05750187473768595,226.0666221563729,1.0,True,False
2.456087882417329e+35,0.0,0.5,2,1.9162318069997177,12.84525896314572,0.22028683411593605,0.9826020990085431,0.04282102951304638,55.032993684663715,1.0,True,False
